obsnme,obsval,weight,standard_deviation,obgnme
wo_bp_0011_20201201,396.8289207,0.0,9.144,oobs
wo_bp_0011_20210101,396.6907302,0.0,9.144,oobs
wo_bp_0011_20210201,396.5486258,0.0,9.144,oobs
wo_bp_0011_20210301,396.4033806,0.0,9.144,oobs
wo_bp_0011_20210401,396.2530304,0.0,9.144,oobs
wo_bp_0011_20210501,396.1062385,0.0,9.144,oobs
wo_bp_0011_20210601,396.0448632,0.0,9.144,oobs
wo_bp_0011_20210701,396.149925,0.0,9.144,oobs
wo_bp_0011_20210801,396.323737,0.0,9.144,oobs
wo_bp_0011_20210901,396.4211709,0.0,9.144,oobs
wo_bp_0011_20211001,396.4100257,0.0,9.144,oobs
wo_bp_0011_20211101,396.3404005,0.0,9.144,oobs
wo_bp_0011_20211201,396.2624636,0.0,9.144,oobs
wp_bp_0013_20180216,360.532661,0.5,9.144,zb006
wp_bp_0013_20180313,360.0297336,0.5,9.144,zb006
wp_bp_0013_20180418,359.4506434,0.5,9.144,zb006
wp_bp_0013_20180515,359.4506434,0.5,9.144,zb006
wp_bp_0013_20180618,356.7988611,0.5,9.144,zb006
wp_bp_0013_20180720,356.0673337,0.5,9.144,zb006
wp_bp_0013_20180820,355.1529338,0.5,9.144,zb006
wp_bp_0013_20181014,357.4694434,0.5,9.144,zb006
wp_bp_0013_20181109,359.2067885,0.5,9.144,zb006
wp_bp_0013_20181221,360.7003159,0.5,9.144,zb006
wp_bp_0013_20190221,363.5044609,0.5,9.144,zb006
wp_bp_0013_20190319,363.3825335,0.5,9.144,zb006
wp_bp_0013_20190409,362.590061,0.5,9.144,zb006
wp_bp_0013_20190506,363.6263884,0.5,9.144,zb006
wp_bp_0013_20190606,364.5407883,0.5,9.144,zb006
wp_bp_0013_20190711,363.1387158,0.5,9.144,zb006
wp_bp_0013_20190808,361.3099159,0.5,9.144,zb006
wp_bp_0013_20190909,359.5420611,0.5,9.144,zb006
wp_bp_0013_20191015,359.2372611,0.5,9.144,zb006
wp_bp_0013_20191120,359.846861,0.5,9.144,zb006
wp_bp_0013_20191218,360.3345336,0.5,9.144,zb006
wp_bp_0013_20200114,360.5174433,0.0,9.144,valid
wp_bp_0013_20200219,360.7307885,0.0,9.144,valid
wp_bp_0013_20200317,360.2552826,0.0,9.144,valid
wp_bp_0013_20200429,360.6393336,0.0,9.144,valid
wp_bp_0013_20200520,360.8222433,0.0,9.144,valid
wp_bp_0013_20200622,361.1879884,0.0,9.144,valid
wp_bp_0013_20200709,359.5725336,0.0,9.144,valid
wp_bp_0013_20200811,357.2560611,0.0,9.144,valid
wp_bp_0013_20200924,357.7132611,0.0,9.144,valid
wp_bp_0013_20201026,356.433116,0.0,9.144,valid
wp_bp_0013_20201124,357.042716,0.0,9.144,valid
wp_bp_0013_20210118,359.9687885,0.0,9.144,valid
wp_bp_0013_20210225,357.8351885,0.0,9.144,valid
wp_bp_0013_20210324,357.8351885,0.0,9.144,valid
wp_bp_0013_20210427,357.3170434,0.0,9.144,valid
wp_bp_0013_20210527,357.652316,0.0,9.144,valid
wp_bp_0013_20210611,358.109516,0.0,9.144,valid
