obsnme                             value 
wo_bp_0011_20180701       3.96879542E+02 
wo_bp_0011_20180801       3.96751251E+02 
wo_bp_0011_20180901       3.96630741E+02 
wo_bp_0011_20181001       3.96596730E+02 
wo_bp_0011_20181101       3.96715342E+02 
wo_bp_0011_20181201       3.96906517E+02 
wo_bp_0011_20190101       3.97089316E+02 
wo_bp_0011_20190201       3.97259574E+02 
wo_bp_0011_20190301       3.97396273E+02 
wo_bp_0011_20190401       3.97456201E+02 
wo_bp_0011_20190501       3.97458047E+02 
wo_bp_0011_20190601       3.97506917E+02 
wo_bp_0011_20190701       3.97590067E+02 
wo_bp_0011_20190801       3.97625799E+02 
wo_bp_0011_20190901       3.97584277E+02 
wo_bp_0011_20191001       3.97486451E+02 
wo_bp_0011_20191101       3.97357627E+02 
wo_bp_0011_20191201       3.97213381E+02 
wo_bp_0011_20200101       3.97060071E+02 
wo_bp_0011_20200201       3.96910303E+02 
wo_bp_0011_20200301       3.96778978E+02 
wo_bp_0011_20200401       3.96692460E+02 
wo_bp_0011_20200501       3.96655707E+02 
wo_bp_0011_20200601       3.96667248E+02 
wo_bp_0011_20200701       3.96756666E+02 
wo_bp_0011_20200801       3.96818291E+02 
wo_bp_0011_20200901       3.96796658E+02 
wo_bp_0011_20201001       3.96744621E+02 
wo_bp_0011_20201101       3.96680725E+02 
wo_bp_0011_20201201       3.96582049E+02 
wo_bp_0011_20210101       3.96454396E+02 
wo_bp_0011_20210201       3.96319340E+02 
wo_bp_0011_20210301       3.96178761E+02 
wo_bp_0011_20210401       3.96032421E+02 
wo_bp_0011_20210501       3.95887336E+02 
wo_bp_0011_20210601       3.95783742E+02 
wo_bp_0011_20210701       3.95821914E+02 
wo_bp_0011_20210801       3.95963619E+02 
wo_bp_0011_20210901       3.96077336E+02 
wo_bp_0011_20211001       3.96093402E+02 
wo_bp_0011_20211101       3.96036362E+02 
wo_bp_0011_20211201       3.95958925E+02 
wp_bp_0013_20180216       3.65059314E+02 
wp_bp_0013_20180313       3.65014227E+02 
wp_bp_0013_20180418       3.64946550E+02 
wp_bp_0013_20180515       3.64893438E+02 
wp_bp_0013_20180618       3.64822447E+02 
wp_bp_0013_20180720       3.64753672E+02 
wp_bp_0013_20180820       3.64684910E+02 
wp_bp_0013_20181014       3.64556777E+02 
wp_bp_0013_20181109       3.64498729E+02 
wp_bp_0013_20181221       3.64416275E+02 
wp_bp_0013_20190221       3.64314197E+02 
wp_bp_0013_20190319       3.64282015E+02 
wp_bp_0013_20190409       3.64257751E+02 
wp_bp_0013_20190506       3.64227982E+02 
wp_bp_0013_20190606       3.64197639E+02 
wp_bp_0013_20190711       3.64171280E+02 
wp_bp_0013_20190808       3.64155760E+02 
wp_bp_0013_20190909       3.64139252E+02 
wp_bp_0013_20191015       3.64120783E+02 
wp_bp_0013_20191120       3.64099337E+02 
wp_bp_0013_20191218       3.64080748E+02 
wp_bp_0013_20200114       3.64060156E+02 
wp_bp_0013_20200219       3.64024625E+02 
wp_bp_0013_20200317       3.63996410E+02 
wp_bp_0013_20200429       3.63944078E+02 
wp_bp_0013_20200520       3.63917260E+02 
wp_bp_0013_20200622       3.63871324E+02 
wp_bp_0013_20200709       3.63849150E+02 
wp_bp_0013_20200811       3.63807428E+02 
wp_bp_0013_20200924       3.63749511E+02 
wp_bp_0013_20201026       3.63707898E+02 
wp_bp_0013_20201124       3.63667292E+02 
wp_bp_0013_20210118       3.63589638E+02 
wp_bp_0013_20210225       3.63526428E+02 
wp_bp_0013_20210324       3.63485129E+02 
wp_bp_0013_20210427       3.63428095E+02 
wp_bp_0013_20210527       3.63377349E+02 
wp_bp_0013_20210611       3.63350166E+02 
wp_bp_0013_20210727       3.63269498E+02 
wp_bp_0013_20210811       3.63244084E+02 
wo_bp_0013_20150101       3.64674404E+02 
wo_bp_0013_20150201       3.64683271E+02 
wo_bp_0013_20150301       3.64701932E+02 
wo_bp_0013_20150401       3.64725896E+02 
wo_bp_0013_20150501       3.64750454E+02 
wo_bp_0013_20150601       3.64774824E+02 
wo_bp_0013_20150701       3.64806133E+02 
wo_bp_0013_20150801       3.64845581E+02 
wo_bp_0013_20150901       3.64885888E+02 
wo_bp_0013_20151001       3.64925642E+02 
wo_bp_0013_20151101       3.64961106E+02 
wo_bp_0013_20151201       3.64997342E+02 
wo_bp_0013_20160101       3.65038269E+02 
wo_bp_0013_20160201       3.65077833E+02 
wo_bp_0013_20160301       3.65118704E+02 
wo_bp_0013_20160401       3.65157676E+02 
wo_bp_0013_20160501       3.65193694E+02 
wo_bp_0013_20160601       3.65227396E+02 
wo_bp_0013_20160701       3.65263474E+02 
wo_bp_0013_20160801       3.65301465E+02 
wo_bp_0013_20160901       3.65334957E+02 
wo_bp_0013_20161001       3.65364537E+02 
wo_bp_0013_20161101       3.65387278E+02 
wo_bp_0013_20161201       3.65403356E+02 
wo_bp_0013_20170101       3.65413251E+02 
wo_bp_0013_20170201       3.65412580E+02 
wo_bp_0013_20170301       3.65408686E+02 
wo_bp_0013_20170401       3.65400343E+02 
wo_bp_0013_20170501       3.65387282E+02 
wo_bp_0013_20170601       3.65368874E+02 
wo_bp_0013_20170701       3.65346278E+02 
wo_bp_0013_20170801       3.65319042E+02 
wo_bp_0013_20170901       3.65286056E+02 
wo_bp_0013_20171001       3.65249279E+02 
wo_bp_0013_20171101       3.65207948E+02 
wo_bp_0013_20171201       3.65163503E+02 
wo_bp_0013_20180101       3.65115238E+02 
wo_bp_0013_20180201       3.65062194E+02 
wo_bp_0013_20180301       3.65008711E+02 
wo_bp_0013_20180401       3.64951364E+02 
wo_bp_0013_20180501       3.64891298E+02 
wo_bp_0013_20180601       3.64827759E+02 
wo_bp_0013_20180701       3.64762223E+02 
wo_bp_0013_20180801       3.64693823E+02 
wo_bp_0013_20180901       3.64622976E+02 
wo_bp_0013_20181001       3.64552376E+02 
wo_bp_0013_20181101       3.64485114E+02 
wo_bp_0013_20181201       3.64425529E+02 
wo_bp_0013_20190101       3.64372369E+02 
wo_bp_0013_20190201       3.64324577E+02 
wo_bp_0013_20190301       3.64285583E+02 
wo_bp_0013_20190401       3.64250389E+02 
wo_bp_0013_20190501       3.64217934E+02 
wo_bp_0013_20190601       3.64189668E+02 
wo_bp_0013_20190701       3.64168457E+02 
wo_bp_0013_20190801       3.64151786E+02 
wo_bp_0013_20190901       3.64135748E+02 
wo_bp_0013_20191001       3.64120174E+02 
wo_bp_0013_20191101       3.64102226E+02 
wo_bp_0013_20191201       3.64081965E+02 
wo_bp_0013_20200101       3.64058316E+02 
wo_bp_0013_20200201       3.64028930E+02 
wo_bp_0013_20200301       3.63997260E+02 
wo_bp_0013_20200401       3.63961387E+02 
wo_bp_0013_20200501       3.63922365E+02 
wo_bp_0013_20200601       3.63880433E+02 
wo_bp_0013_20200701       3.63840286E+02 
wo_bp_0013_20200801       3.63801085E+02 
wo_bp_0013_20200901       3.63760973E+02 
wo_bp_0013_20201001       3.63720912E+02 
wo_bp_0013_20201101       3.63679303E+02 
wo_bp_0013_20201201       3.63636837E+02 
wo_bp_0013_20210101       3.63592488E+02 
wo_bp_0013_20210201       3.63544593E+02 
wo_bp_0013_20210301       3.63497443E+02 
wo_bp_0013_20210401       3.63447700E+02 
wo_bp_0013_20210501       3.63396124E+02 
wo_bp_0013_20210601       3.63342017E+02 
wo_bp_0013_20210701       3.63288381E+02 
wo_bp_0013_20210801       3.63235724E+02 
wo_bp_0013_20210901       3.63184935E+02 
wo_bp_0013_20211001       3.63134689E+02 
wo_bp_0013_20211101       3.63084568E+02 
wo_bp_0013_20211201       3.63034445E+02 
wo_bp_0014_20150101       3.44949019E+02 
wo_bp_0014_20150201       3.45008186E+02 
wo_bp_0014_20150301       3.45067585E+02 
wo_bp_0014_20150401       3.45124820E+02 
wo_bp_0014_20150501       3.45177858E+02 
wo_bp_0014_20150601       3.45227197E+02 
wo_bp_0014_20150701       3.45273232E+02 
wo_bp_0014_20150801       3.45317108E+02 
wo_bp_0014_20150901       3.45357820E+02 
wo_bp_0014_20151001       3.45396423E+02 
wo_bp_0014_20151101       3.45433209E+02 
wo_bp_0014_20151201       3.45468383E+02 
wo_bp_0014_20160101       3.45502741E+02 
wo_bp_0014_20160201       3.45534892E+02 
wo_bp_0014_20160301       3.45566153E+02 
wo_bp_0014_20160401       3.45597182E+02 
wo_bp_0014_20160501       3.45627530E+02 
wo_bp_0014_20160601       3.45657274E+02 
wo_bp_0014_20160701       3.45686509E+02 
wo_bp_0014_20160801       3.45715824E+02 
wo_bp_0014_20160901       3.45744360E+02 
wo_bp_0014_20161001       3.45772625E+02 
wo_bp_0014_20161101       3.45800613E+02 
wo_bp_0014_20161201       3.45828280E+02 
wo_bp_0014_20170101       3.45856048E+02 
wo_bp_0014_20170201       3.45882138E+02 
wo_bp_0014_20170301       3.45907906E+02 
wo_bp_0014_20170401       3.45934256E+02 
wo_bp_0014_20170501       3.45960347E+02 
wo_bp_0014_20170601       3.45986220E+02 
wo_bp_0014_20170701       3.46011893E+02 
wo_bp_0014_20170801       3.46037786E+02 
wo_bp_0014_20170901       3.46063048E+02 
wo_bp_0014_20171001       3.46088075E+02 
wo_bp_0014_20171101       3.46112853E+02 
wo_bp_0014_20171201       3.46137367E+02 
wo_bp_0014_20180101       3.46162013E+02 
wo_bp_0014_20180201       3.46185215E+02 
wo_bp_0014_20180301       3.46208164E+02 
wo_bp_0014_20180401       3.46231638E+02 
wo_bp_0014_20180501       3.46254846E+02 
wo_bp_0014_20180601       3.46277787E+02 
wo_bp_0014_20180701       3.46300450E+02 
wo_bp_0014_20180801       3.46323189E+02 
wo_bp_0014_20180901       3.46345259E+02 
wo_bp_0014_20181001       3.46367028E+02 
wo_bp_0014_20181101       3.46388557E+02 
wo_bp_0014_20181201       3.46409951E+02 
wo_bp_0014_20190101       3.46431667E+02 
wo_bp_0014_20190201       3.46452391E+02 
wo_bp_0014_20190301       3.46473216E+02 
wo_bp_0014_20190401       3.46494829E+02 
wo_bp_0014_20190501       3.46516442E+02 
wo_bp_0014_20190601       3.46537960E+02 
wo_bp_0014_20190701       3.46559326E+02 
wo_bp_0014_20190801       3.46580847E+02 
wo_bp_0014_20190901       3.46601794E+02 
wo_bp_0014_20191001       3.46622467E+02 
wo_bp_0014_20191101       3.46642810E+02 
wo_bp_0014_20191201       3.46662756E+02 
wo_bp_0014_20200101       3.46682579E+02 
wo_bp_0014_20200201       3.46701303E+02 
wo_bp_0014_20200301       3.46719560E+02 
wo_bp_0014_20200401       3.46737658E+02 
wo_bp_0014_20200501       3.46755292E+02 
wo_bp_0014_20200601       3.46772488E+02 
wo_bp_0014_20200701       3.46789301E+02 
wo_bp_0014_20200801       3.46806078E+02 
wo_bp_0014_20200901       3.46822327E+02 
wo_bp_0014_20201001       3.46838344E+02 
wo_bp_0014_20201101       3.46854119E+02 
wo_bp_0014_20201201       3.46869613E+02 
wo_bp_0014_20210101       3.46885041E+02 
wo_bp_0014_20210201       3.46899396E+02 
wo_bp_0014_20210301       3.46913407E+02 
wo_bp_0014_20210401       3.46927533E+02 
wo_bp_0014_20210501       3.46941279E+02 
wo_bp_0014_20210601       3.46954653E+02 
wo_bp_0014_20210701       3.46967663E+02 
wo_bp_0014_20210801       3.46980553E+02 
wo_bp_0014_20210901       3.46992941E+02 
wo_bp_0014_20211001       3.47005062E+02 
wo_bp_0014_20211101       3.47016930E+02 
wo_bp_0014_20211201       3.47028534E+02 
wp_bp_0018_20150113       3.98777472E+02 
wp_bp_0018_20150218       3.98424359E+02 
wp_bp_0018_20150318       3.98174879E+02 
wp_bp_0018_20150415       3.97841087E+02 
wp_bp_0018_20150524       3.98417447E+02 
wp_bp_0018_20150610       3.98680027E+02 
wp_bp_0018_20150712       3.98888282E+02 
wp_bp_0018_20150819       3.98088532E+02 
wp_bp_0018_20150915       3.97491509E+02 
wp_bp_0018_20151014       3.97018025E+02 
wp_bp_0018_20151118       3.98265752E+02 
wp_bp_0018_20151215       3.98656888E+02 
wp_bp_0018_20160118       3.98703207E+02 
wp_bp_0018_20160216       3.98086137E+02 
wp_bp_0018_20160323       3.98186027E+02 
wp_bp_0018_20160422       3.98341226E+02 
wp_bp_0018_20160517       3.98615337E+02 
wp_bp_0018_20160614       3.98888434E+02 
wp_bp_0018_20160721       3.98314838E+02 
wp_bp_0018_20160817       3.97682031E+02 
wp_bp_0018_20160912       3.97644568E+02 
wp_bp_0018_20161026       3.97147418E+02 
wp_bp_0018_20161123       3.97380060E+02 
wp_bp_0018_20161222       3.97898242E+02 
wp_bp_0018_20170110       3.97714438E+02 
wp_bp_0018_20170208       3.97602748E+02 
wp_bp_0018_20170317       3.97663979E+02 
wp_bp_0018_20170419       3.97343999E+02 
wp_bp_0018_20170512       3.96989415E+02 
wp_bp_0018_20170613       3.96550015E+02 
wp_bp_0018_20170711       3.96225484E+02 
wp_bp_0018_20170816       3.95860082E+02 
wp_bp_0018_20170915       3.95666480E+02 
wp_bp_0018_20171017       3.95748928E+02 
wp_bp_0018_20171114       3.95469566E+02 
wp_bp_0018_20171218       3.95165279E+02 
wp_bp_0018_20180112       3.95090553E+02 
wp_bp_0018_20180216       3.94807963E+02 
wp_bp_0018_20180313       3.94628715E+02 
wp_bp_0018_20180418       3.94392496E+02 
wp_bp_0018_20180515       3.94227639E+02 
wp_bp_0018_20190618       3.97948175E+02 
wp_bp_0018_20180720       3.93858130E+02 
wp_bp_0018_20180820       3.93694655E+02 
wp_bp_0018_20180915       3.93978012E+02 
wp_bp_0018_20181014       3.96225030E+02 
wp_bp_0018_20181109       3.97325586E+02 
wp_bp_0018_20181221       3.97423587E+02 
wp_bp_0018_20190220       3.97823346E+02 
wp_bp_0018_20190319       3.97172287E+02 
wp_bp_0018_20190409       3.96658503E+02 
wp_bp_0018_20190506       3.96848214E+02 
wp_bp_0018_20190606       3.98062501E+02 
