parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f50_ds1_025,log,factor,4.90312,2,8,zb003,1,0,1
f50_ds2_025,log,factor,16.87434219,14,20,zb003,1,0,1
f50_ds1_030,log,factor,20,16,24,zb003,1,0,1
f50_ds2_030,log,factor,23.8742209,21,27,zb003,1,0,1
f50_ds1_035,log,factor,30,26,60,zb003,1,0,1
f50_ds2_035,log,factor,30.12342976,29,32,zb003,1,0,1
f50_ds1_040,log,factor,131.0620736,100,140,zb003,1,0,1
f50_ds1_045,log,factor,159.0468384,150,170,zb003,1,0,1
f50_ds1_050,log,factor,197.3689875,185,210,zb003,1,0,1
f50_ds1_055,log,factor,246.0462359,230,265,zb003,1,0,1
f50_ds1_060,log,factor,305.0962984,290,330,zb003,1,0,1
f50_ds1_065,log,factor,374.53689,350,400,zb003,1,0,1
f51_ds2_010,log,factor,0.3,0.1,2.1,zb003,1,-0.1,1
f51_ds2_015,log,factor,4.544200079,3,10,zb003,1,0,1
f51_ds1_020,log,factor,1.1,0.1,3.1,zb003,1,-0.1,1
f51_ds2_020,log,factor,24.17603087,20,30,zb003,1,0,1
f51_ds1_025,log,factor,5.208950179,4,12,zb003,1,0,1
f51_ds2_025,log,factor,45.14293955,35,55,zb003,1,0,1
f51_ds1_030,log,factor,20,16,24,zb003,1,0,1
f51_ds2_030,log,factor,63.58505192,60,70,zb003,1,0,1
f51_ds1_035,log,factor,30,26,80,zb003,1,0,1
f51_ds2_035,log,factor,79.66549975,75,85,zb003,1,0,1
f51_ds1_040,log,factor,164.1597767,120,170,zb003,1,0,1
f51_ds2_040,log,factor,93.54741478,90,100,zb003,1,0,1
f51_ds1_045,log,factor,183.6789336,180,200,zb003,1,0,1
f51_ds1_050,log,factor,213.3227884,210,230,zb003,1,0,1
f51_ds1_055,log,factor,253.109013,245,275,zb003,1,0,1
f51_ds1_060,log,factor,303.0552795,300,320,zb003,1,0,1
f51_ds1_065,log,factor,363.1792599,350,380,zb003,1,0,1
f60_ds2_015,log,factor,0.10109761,0.1,1.1,zb005,1,-0.1,1
f60_ds1_020,log,factor,1.1,0.1,4.1,zb005,1,-0.1,1
f60_ds2_020,log,factor,2.299810069,2,3,zb005,1,0,1
f60_ds1_025,log,factor,6.63550009,5,11,zb005,1,0,1
f60_ds2_025,log,factor,4,3.5,4.5,zb005,1,0,1
f60_ds1_030,log,factor,20,16,24,zb005,1,0,1
f60_ds1_035,log,factor,30,26,34,zb005,1,0,1
f60_ds1_040,log,factor,40,36,44,zb005,1,0,1
f60_ds1_045,log,factor,50,46,54,zb005,1,0,1
f60_ds1_050,log,factor,65,60,70,zb005,1,0,1
f60_ds1_055,log,factor,85,80,90,zb005,1,0,1
f60_ds1_060,log,factor,110,100,120,zb005,1,0,1
f60_ds1_065,log,factor,140,130,150,zb005,1,0,1
f60_ds1_070,log,factor,177.5927389,165,190,zb005,1,0,1
f60_ds1_075,log,factor,233.0857627,210,250,zb005,1,0,1
f60_ds1_080,log,factor,297.1847935,270,320,zb005,1,0,1
f60_ds1_085,log,factor,369.9076851,345,390,zb005,1,0,1
f70_ds2_015,log,factor,1.1,0.1,2.1,zb006,1,-0.1,1
f70_ds2_020,log,factor,5,4,6,zb006,1,0,1
f70_ds1_025,log,factor,7.39008,3,11,zb006,1,0,1
f70_ds2_025,log,factor,8,7,9,zb006,1,0,1
f70_ds1_030,log,factor,20,16,24,zb006,1,0,1
f70_ds2_030,log,factor,14.277052,10,16,zb006,1,0,1
f70_ds1_035,log,factor,30,26,34,zb006,1,0,1
f70_ds2_035,log,factor,18,17,20,zb006,1,0,1
f70_ds1_040,log,factor,40,36,44,zb006,1,0,1
f70_ds2_040,log,factor,22,21,23,zb006,1,0,1
f70_ds1_045,log,factor,50,46,54,zb006,1,0,1
f70_ds2_045,log,factor,26,25,27,zb006,1,0,1
f70_ds1_050,log,factor,60,56,64,zb006,1,0,1
f70_ds2_050,log,factor,30,29,31,zb006,1,0,1
f70_ds1_055,log,factor,70,66,74,zb006,1,0,1
f70_ds2_055,log,factor,34,33,35,zb006,1,0,1
f70_ds1_060,log,factor,80,76,84,zb006,1,0,1
f70_ds2_060,log,factor,38,37,40,zb006,1,0,1
f70_ds1_065,log,factor,90,86,94,zb006,1,0,1
f70_ds1_070,log,factor,100,96,104,zb006,1,0,1
f70_ds1_075,log,factor,115,110,125,zb006,1,0,1
f70_ds1_080,log,factor,148.0335904,140,165,zb006,1,0,1
f70_ds1_085,log,factor,201.385179,180,220,zb006,1,0,1
f70_ds1_090,log,factor,263.1641793,240,285,zb006,1,0,1
f70_ds1_095,log,factor,333.3884125,310,370,zb006,1,0,1
f70_ds1_100,log,factor,412.0757,400,440,zb006,1,0,1
f70_ds1_105,log,factor,499.243863,46,530,zb006,1,0,1
f71_ds2_015,log,factor,0.306864001,0.1,2.1,zb004,1,-0.1,1
f71_ds2_020,log,factor,4.622730315,3,7,zb004,1,0,1
f71_ds1_025,log,factor,6.141420023,2,10,zb004,1,0,1
f71_ds2_025,log,factor,14.41204533,11,18,zb004,1,0,1
f71_ds1_030,log,factor,20,16,24,zb004,1,0,1
f71_ds2_030,log,factor,22.78917214,20,25,zb004,1,0,1
f71_ds1_035,log,factor,30,26,34,zb004,1,0,1
f71_ds2_035,log,factor,29.82223009,26,32,zb004,1,0,1
f71_ds1_040,log,factor,74.96151937,50,80,zb004,1,0,1
f71_ds2_040,log,factor,35.57933855,33,38,zb004,1,0,1
f71_ds1_045,log,factor,93.09419815,85,105,zb004,1,0,1
f71_ds1_050,log,factor,121.5268432,115,135,zb004,1,0,1
f71_ds1_055,log,factor,160.2776786,150,180,zb004,1,0,1
f71_ds1_060,log,factor,209.3649284,195,230,zb004,1,0,1
f71_ds1_065,log,factor,268.8068166,250,300,zb004,1,0,1
f71_ds1_070,log,factor,338.6215672,320,365,zb004,1,0,1
p10031_s001,log,factor,0.280589998,0.274037242,0.327883512,zb001,1,0,1
p10031_s002,log,factor,0.251904488,0.244955003,0.260943234,zb001,1,0,1
p10031_s003,log,factor,0.174708501,0.174573004,0.296851754,zb001,1,0,1
p10031_s004,log,factor,0.200408995,0.129543245,0.234662503,zb001,1,0,1
