name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
WA_BS_0006_20180601,154.082,8.94224,131.811,179.559,163.024,145.14,241.624,0.222491,240.93,242.234,241.846,241.401,61.3709
WA_BS_0006_20180701,151.885,9.19129,127.007,182.049,161.076,142.693,241.58,0.22174,240.891,242.193,241.802,241.358,58.8414
WA_BS_0006_20180801,149.254,9.62502,124.009,174.718,158.879,139.629,241.537,0.221151,240.852,242.156,241.758,241.316,66.1339
WA_BS_0006_20180901,148.979,9.38554,125.29,186.387,158.364,139.593,241.499,0.220695,240.817,242.125,241.719,241.278,54.4299
WA_BS_0006_20181001,149.057,9.27332,118.148,175.473,158.331,139.784,241.508,0.222607,240.821,242.17,241.731,241.285,65.3482
WA_BS_0006_20181101,149.517,9.83856,110.289,176.236,159.356,139.678,241.548,0.226719,240.854,242.253,241.775,241.321,64.6182
WA_BS_0006_20181201,149.977,8.63697,122.469,176.82,158.614,141.34,241.566,0.229816,240.874,242.297,241.796,241.336,64.0539
WA_BS_0006_20190101,153.221,8.73987,128.511,178.548,161.96,144.481,241.584,0.234033,240.895,242.345,241.819,241.35,62.347
WA_BS_0006_20190201,154.511,9.54271,124.215,182.332,164.053,144.968,241.603,0.239058,240.915,242.385,241.842,241.364,58.5829
WA_BS_0006_20190301,156.553,8.70655,130.895,175.975,165.26,147.847,241.587,0.240327,240.908,242.371,241.827,241.347,64.9338
WA_BS_0006_20190401,156.031,8.97315,132.169,177.611,165.004,147.058,241.552,0.239729,240.883,242.332,241.791,241.312,63.2725
WA_BS_0006_20190501,156.985,9.09543,129.345,183.836,166.08,147.889,241.539,0.241797,240.872,242.329,241.78,241.297,57.036
WA_BS_0006_20190601,157.857,8.94639,135.586,182.223,166.803,148.91,241.567,0.249008,240.89,242.378,241.816,241.318,58.6674
WA_BS_0006_20190701,157.575,8.93458,130.962,181.322,166.51,148.641,241.581,0.25488,240.852,242.402,241.836,241.326,59.5297
WA_BS_0006_20190801,155.825,8.90111,132.929,181.498,164.726,146.924,241.556,0.256095,240.815,242.374,241.813,241.3,59.3172
