parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f43_ds2_040,log,factor,59.6126,56.0,64.0,zb003,1.0,0.0,1
f43_ds1_045,log,factor,158.739,150.0,190.0,zb003,1.0,0.0,1
f43_ds1_050,log,factor,227.876,210.0,240.0,zb003,1.0,0.0,1
f43_ds1_055,log,factor,282.534,260.0,305.0,zb003,1.0,0.0,1
f43_ds1_060,log,factor,363.57,350.0,380.0,zb003,1.0,0.0,1
f44_ds2_020,log,factor,0.388746,0.1,4.1,zb001,1.0,-0.1,1
f44_ds1_025,log,factor,5.96155,4.0,10.0,zb001,1.0,0.0,1
f44_ds1_030,log,factor,17.4955,16.0,24.0,zb001,1.0,0.0,1
f44_ds1_035,log,factor,28.383,26.0,34.0,zb001,1.0,0.0,1
f44_ds1_040,log,factor,48.4262,40.0,55.0,zb001,1.0,0.0,1
f44_ds1_045,log,factor,69.9625,65.0,91.0,zb001,1.0,0.0,1
f44_ds1_050,log,factor,121.54,110.0,140.0,zb001,1.0,0.0,1
f44_ds1_055,log,factor,184.016,155.0,195.0,zb001,1.0,0.0,1
f44_ds1_060,log,factor,244.068,210.0,260.0,zb001,1.0,0.0,1
f44_ds1_065,log,factor,310.929,300.0,340.0,zb001,1.0,0.0,1
f44_ds1_070,log,factor,403.738,365.0,425.0,zb001,1.0,0.0,1
f50_ds2_015,log,factor,3.46025,1.5,6.0,zb003,1.0,0.0,1
f50_ds2_020,log,factor,8.31976,7.0,11.0,zb003,1.0,0.0,1
f50_ds1_025,log,factor,4.66096,2.0,8.0,zb003,1.0,0.0,1
f50_ds2_025,log,factor,18.3889,14.0,20.0,zb003,1.0,0.0,1
f50_ds1_030,log,factor,19.3107,16.0,24.0,zb003,1.0,0.0,1
f50_ds2_030,log,factor,25.2004,21.0,27.0,zb003,1.0,0.0,1
f50_ds1_035,log,factor,28.5353,26.0,60.0,zb003,1.0,0.0,1
f50_ds2_035,log,factor,29.7619,29.0,32.0,zb003,1.0,0.0,1
f50_ds1_040,log,factor,126.955,100.0,140.0,zb003,1.0,0.0,1
f50_ds1_045,log,factor,163.872,150.0,170.0,zb003,1.0,0.0,1
f50_ds1_050,log,factor,195.533,185.0,210.0,zb003,1.0,0.0,1
f50_ds1_055,log,factor,249.583,230.0,265.0,zb003,1.0,0.0,1
f50_ds1_060,log,factor,307.915,290.0,330.0,zb003,1.0,0.0,1
f50_ds1_065,log,factor,363.6,350.0,400.0,zb003,1.0,0.0,1
f51_ds2_010,log,factor,0.178782,0.1,2.1,zb003,1.0,-0.1,1
f51_ds2_015,log,factor,5.314,3.0,10.0,zb003,1.0,0.0,1
f51_ds1_020,log,factor,0.464332,0.1,3.1,zb003,1.0,-0.1,1
f51_ds2_020,log,factor,20.6038,20.0,30.0,zb003,1.0,0.0,1
f51_ds1_025,log,factor,6.11194,4.0,12.0,zb003,1.0,0.0,1
f51_ds2_025,log,factor,43.5677,35.0,55.0,zb003,1.0,0.0,1
f51_ds1_030,log,factor,19.0784,16.0,24.0,zb003,1.0,0.0,1
