iteration,total_runs,obs_realization,par_realization,zball,zb003,zb007,zb005,zb001,zb002,zb006,zb004,burnin,valid,oobs
0,266,154,154,0.869352,191993,32246.2,198559,687243,875991,199221,290671,0,0,0
0,266,155,155,0.858092,191822,32197.4,200345,706983,947976,199330,312851,0,0,0
0,266,156,156,0.731445,192453,32750.6,198245,687627,981104,201638,322969,0,0,0
0,266,157,157,0.800291,192092,34401.1,197870,704065,852900,202028,283966,0,0,0
0,266,158,158,0.831415,192359,32183.9,198073,724811,857088,205035,282889,0,0,0
0,266,160,160,0.801919,192137,31883.5,197319,692268,850729,199848,278575,0,0,0
0,266,161,161,0.908796,192443,31880.4,196622,707150,973780,196396,316908,0,0,0
0,266,162,162,0.894929,191792,32372,197856,685692,892579,194574,297255,0,0,0
0,266,163,163,0.902445,191416,31359,197526,687360,844878,197648,279051,0,0,0
0,266,164,164,0.848287,192458,32571.6,199424,696334,1.01435e+06,199382,336427,0,0,0
0,266,165,165,0.882467,192023,33939.9,198215,694401,837934,192022,274808,0,0,0
0,266,166,166,0.779961,192205,32924.3,198431,723054,863507,206469,283991,0,0,0
0,266,168,168,0.809112,192534,32738.9,197269,690842,853893,201436,287117,0,0,0
0,266,169,169,0.847748,192328,32392.8,196986,718262,852774,201893,281814,0,0,0
0,266,171,171,0.781749,192498,33030.8,197300,694269,1.08812e+06,203317,357013,0,0,0
0,266,172,172,0.830597,192305,31417,198253,711693,855736,203274,279170,0,0,0
0,266,173,173,0.758328,192727,31790.1,198654,706338,854263,211595,284843,0,0,0
0,266,174,174,0.872465,193044,31787.6,197311,693050,1.09387e+06,194678,363355,0,0,0
0,266,175,175,0.809408,192583,33139.7,199163,694780,850782,204676,282808,0,0,0
0,266,176,176,0.77633,192020,33124.7,198603,689469,868752,205484,288062,0,0,0
0,266,177,177,0.894416,192517,31109.1,198531,695180,854452,200360,281030,0,0,0
0,266,178,178,0.921806,192332,32577.6,197530,711034,1.13855e+06,194805,366973,0,0,0
0,266,179,179,0.90134,192528,33321.3,197851,685588,863910,195073,285958,0,0,0
0,266,180,180,0.876089,192398,32939,197427,694335,840218,193435,279374,0,0,0
0,266,181,181,0.865331,191875,32343,197706,690499,906791,200875,299332,0,0,0
0,266,182,182,0.868241,192632,31653.5,198475,690445,985335,200751,327133,0,0,0
0,266,184,184,0.859322,192749,31828.1,197589,695072,969393,198311,318394,0,0,0
0,266,185,185,0.817706,192356,31585.1,195983,684265,895089,202610,291175,0,0,0
0,266,186,186,0.837593,192611,32709.4,197825,691157,908346,198103,300444,0,0,0
0,266,187,187,0.870345,192985,31822.5,199115,687663,866349,194650,288538,0,0,0
0,266,188,188,0.841407,192314,32227.2,199245,688359,837157,197185,278526,0,0,0
0,266,189,189,0.836263,191986,33072.5,197735,685195,889770,196700,295345,0,0,0
0,266,190,190,0.855979,192488,34006.5,198574,688592,848729,198681,279151,0,0,0
0,266,191,191,0.814618,192092,31874.9,198958,696334,847026,207231,282689,0,0,0
0,266,192,192,0.862587,192803,31718.8,199822,688761,994550,193218,324601,0,0,0
0,266,193,193,0.784899,192071,30971.1,199493,699172,852150,203226,281227,0,0,0
0,266,194,194,0.763573,192580,34404.4,199483,695329,846971,208299,282854,0,0,0
0,266,195,195,0.861222,192180,33200.8,198450,688426,834509,197500,277569,0,0,0
0,266,196,196,0.865066,192581,32305.6,198430,692307,864134,194171,290914,0,0,0
0,266,197,197,0.868066,192320,33581.3,197420,684510,1.02279e+06,194158,334259,0,0,0
0,266,198,198,0.819068,193300,32431.4,199567,704471,851918,199088,287330,0,0,0
0,266,199,199,0.831497,192666,33327.3,199261,689135,844224,199832,283801,0,0,0
0,266,200,200,0.827931,192399,33501,198458,702262,946216,198639,312253,0,0,0
0,266,201,201,0.848214,191991,33628.7,198020,693550,1.08902e+06,196543,356326,0,0,0
0,266,202,202,0.797575,192998,32319.6,198430,692171,832702,199648,280691,0,0,0
0,266,203,203,0.876622,192454,31973.4,198632,688314,832504,194894,280133,0,0,0
0,266,204,204,0.825998,191613,33409.2,196388,724844,877074,205586,287387,0,0,0
0,266,205,205,0.885363,192684,31702.8,200899,693727,1.02586e+06,198719,334240,0,0,0
0,266,206,206,0.863945,192917,32932.5,199590,689598,864976,199381,286608,0,0,0
0,266,207,207,0.885387,192512,31810.7,198068,686886,932638,194443,307268,0,0,0
0,266,208,208,0.877137,192765,34332.9,197742,688820,994584,194303,330721,0,0,0
0,266,209,209,0.853957,192112,32652.3,198299,691916,849754,198326,279351,0,0,0
0,266,210,210,0.795882,191835,33160.9,196802,685023,846313,202825,281434,0,0,0
0,266,211,211,0.799243,192461,33841.3,197259,698299,860449,206591,284307,0,0,0
0,266,212,212,0.871161,192175,31441.6,198746,694966,849701,199416,280291,0,0,0
0,266,213,213,0.841314,192070,34028.2,196940,696860,843553,200128,282237,0,0,0
0,266,214,214,0.839174,192012,32081.8,197449,701844,926728,202902,308390,0,0,0
0,266,215,215,0.888678,192484,31955.1,197497,709852,976614,193720,318720,0,0,0
0,266,216,216,0.866013,192044,32725.8,197893,710355,927960,194077,298451,0,0,0
0,266,217,217,0.863155,192018,32645.3,198160,692338,837227,195616,277097,0,0,0
0,266,218,218,0.862612,192519,31704.9,199551,690169,831263,197182,281306,0,0,0
0,266,219,219,0.904086,192049,31173.9,197376,690904,836285,195012,277950,0,0,0
0,266,223,223,0.917085,192565,31669.2,199456,688242,874218,195304,284508,0,0,0
0,266,224,224,0.856958,192191,31706.2,198376,698590,853783,197242,282405,0,0,0
0,266,225,225,0.808007,192426,33440.9,196813,690604,942925,203395,312190,0,0,0
0,266,226,226,0.886377,192520,33084.9,199238,699025,846982,193001,279028,0,0,0
0,266,227,227,0.863221,192428,31661,198201,687238,1.09e+06,200140,360047,0,0,0
0,266,228,228,0.864223,192139,33348.6,198885,690228,846574,198387,280809,0,0,0
0,266,229,229,0.871664,192979,33536.1,199008,688627,852768,198558,286551,0,0,0
0,266,230,230,0.807911,192455,31726.9,196900,689886,886089,208244,292702,0,0,0
0,266,231,231,0.881808,192446,33611.9,197245,690678,894071,193340,296559,0,0,0
0,266,232,232,0.855141,192518,32153.7,198033,685146,837994,202961,278790,0,0,0
0,266,233,233,0.837318,192489,31549.8,199492,685089,901370,195255,295364,0,0,0
0,266,235,235,0.865394,193376,32847.1,198372,701445,906482,194902,297202,0,0,0
0,266,236,236,0.837954,193108,31434.9,196004,684402,841759,200551,282478,0,0,0
0,266,237,237,0.840739,191796,32464.4,198541,716410,869463,203600,285269,0,0,0
0,266,238,238,0.855303,193293,32150.5,198309,690100,863360,196388,290141,0,0,0
0,266,239,239,0.877375,192383,32920.1,198284,686127,836618,196676,280930,0,0,0
0,266,240,240,0.876434,192439,32568.2,197498,691288,839100,198425,281309,0,0,0
0,266,241,241,0.837148,192623,33241.2,199213,725363,851704,201368,283880,0,0,0
0,266,243,243,0.787093,193214,31488.2,198488,695702,878871,206601,291828,0,0,0
0,266,244,244,0.828995,192954,32509.2,197006,712885,851165,204736,283173,0,0,0
0,266,245,245,0.85153,192324,32335.3,197519,690624,834192,200269,283224,0,0,0
0,266,247,247,0.837822,192777,31413.3,198727,686983,851767,205543,283390,0,0,0
0,266,248,248,0.84974,192374,33437.4,198005,688362,946952,197529,311361,0,0,0
0,266,249,249,0.852549,192318,32440.1,199260,694042,849556,198456,288327,0,0,0
0,266,250,250,0.821417,191908,33140.1,197039,685934,844540,200460,282585,0,0,0
0,266,252,252,0.846276,192427,32674.7,197162,690507,842890,201870,283048,0,0,0
0,266,253,253,0.882303,192367,33204.2,197728,688630,940747,194108,306969,0,0,0
0,266,254,254,0.792582,193062,33568.4,198448,704935,896477,202709,295660,0,0,0
0,266,255,255,0.883051,191918,31544.1,195662,699493,971060,193522,316625,0,0,0
