name,value,group,weight
wo_bp_0013_20150601,364.513,oobs,0
wo_bp_0013_20150701,364.449,oobs,0
wo_bp_0013_20150801,364.404,oobs,0
wo_bp_0013_20150901,364.367,oobs,0
wo_bp_0013_20151001,364.331,oobs,0
wo_bp_0013_20151101,364.289,oobs,0
wo_bp_0013_20151201,364.251,oobs,0
wo_bp_0013_20160101,364.227,oobs,0
wo_bp_0013_20160201,364.212,oobs,0
wo_bp_0013_20160301,364.201,oobs,0
wo_bp_0013_20160401,364.189,oobs,0
wo_bp_0013_20160501,364.173,oobs,0
wo_bp_0013_20160601,364.157,oobs,0
wo_bp_0013_20160701,364.15,oobs,0
wo_bp_0013_20160801,364.151,oobs,0
wo_bp_0013_20160901,364.151,oobs,0
wo_bp_0013_20161001,364.145,oobs,0
wo_bp_0013_20161101,364.131,oobs,0
wo_bp_0013_20161201,364.108,oobs,0
wo_bp_0013_20170101,364.079,oobs,0
wo_bp_0013_20170201,364.043,oobs,0
wo_bp_0013_20170301,364.003,oobs,0
wo_bp_0013_20170401,363.962,oobs,0
wo_bp_0013_20170501,363.916,oobs,0
wo_bp_0013_20170601,363.868,oobs,0
wo_bp_0013_20170701,363.816,oobs,0
wo_bp_0013_20170801,363.76,oobs,0
wo_bp_0013_20170901,363.7,oobs,0
wo_bp_0013_20171001,363.636,oobs,0
wo_bp_0013_20171101,363.568,oobs,0
wo_bp_0013_20171201,363.498,oobs,0
wo_bp_0013_20180101,363.424,oobs,0
wo_bp_0013_20180201,363.348,oobs,0
wo_bp_0013_20180301,363.269,oobs,0
wo_bp_0013_20180401,363.188,oobs,0
wo_bp_0013_20180501,363.104,oobs,0
wo_bp_0013_20180601,363.017,oobs,0
wo_bp_0013_20180701,362.928,oobs,0
wo_bp_0013_20180801,362.837,oobs,0
wo_bp_0013_20180901,362.743,oobs,0
wo_bp_0013_20181001,362.65,oobs,0
wo_bp_0013_20181101,362.561,oobs,0
wo_bp_0013_20181201,362.481,oobs,0
wo_bp_0013_20190101,362.408,oobs,0
wo_bp_0013_20190201,362.341,oobs,0
wo_bp_0013_20190301,362.282,oobs,0
wo_bp_0013_20190401,362.227,oobs,0
wo_bp_0013_20190501,362.174,oobs,0
wo_bp_0013_20190601,362.127,oobs,0
wo_bp_0013_20190701,362.087,oobs,0
wo_bp_0013_20190801,362.052,oobs,0
wo_bp_0013_20190901,362.018,oobs,0
wo_bp_0013_20191001,361.985,oobs,0
wo_bp_0013_20191101,361.95,oobs,0
wo_bp_0013_20191201,361.912,oobs,0
wo_bp_0013_20200101,361.873,oobs,0
wo_bp_0013_20200201,361.829,oobs,0
wo_bp_0013_20200301,361.784,oobs,0
wo_bp_0013_20200401,361.736,oobs,0
wo_bp_0013_20200501,361.684,oobs,0
wo_bp_0013_20200601,361.631,oobs,0
wo_bp_0013_20200701,361.578,oobs,0
wo_bp_0013_20200801,361.526,oobs,0
wo_bp_0013_20200901,361.474,oobs,0
wo_bp_0013_20201001,361.421,oobs,0
